ValidityDate/Time,Downward short-wave radiation flux,High cloud cover,Low cloud cover,Medium cloud cover,Pressure,Pressure reduced to MSL,Relative humidity,Temperature,Total cloud cover,Total precipitation,u-component of wind,v-component of wind
20170101030000,,0.0,20.458984375,8.984375,102477.40478515624,102496.728515625,58.93410301208496,294.5423278808594,20.458984375,0.0,-5.629779815673827,-2.626565933227539
20170101040000,,0.0,16.11328125,10.400390625,102405.6396484375,102433.35571289062,57.33942031860352,294.62615966796875,16.11328125,0.0,-5.3783912658691415,-2.610645294189453
20170101050000,,0.0,12.548828125,11.328125,102375.44555664062,102399.169921875,56.34431076049805,294.7002410888672,12.548828125,0.0,-5.082063674926758,-2.566883087158203
20170101060000,,0.0,7.03125,8.59375,102323.76098632812,102347.47924804688,55.48810768127442,294.7388000488281,9.033203125,0.0,-5.181266784667969,-2.235987663269043
20170101070000,,0.0,1.611328125,2.9052734375,102239.42260742188,102260.22338867188,55.12997817993164,294.7140350341797,3.02734375,0.0,-5.694096565246582,-1.7823619842529297
20170101080000,,0.0,0.048828125,1.8798828125,102231.23168945312,102256.2744140625,57.09062957763672,294.5954284667969,1.904296875,0.0,-5.879744529724121,-1.4476518630981443
20170101090000,,0.0,0.634765625,1.5380859375,102278.70483398438,102298.00415039062,60.87513160705566,294.38487243652344,1.611328125,0.0,-5.666603088378906,-1.5369377136230469
20170101100000,,0.0,2.197265625,1.1474609375,102343.81103515624,102363.02490234376,61.70885276794434,294.30010986328125,2.197265625,0.0,-5.407017707824707,-1.750288009643555
20170101110000,,0.0,2.197265625,1.3916015625,102390.24658203124,102415.95458984376,60.5700740814209,294.2447967529297,2.197265625,0.0,-4.9676246643066415,-1.5894060134887695
20170101120000,,0.0,1.708984375,0.9765625,102406.82373046876,102422.74169921876,59.57026290893555,294.20159912109375,1.708984375,0.0,-4.806428909301758,-1.1258602142333984
20170101130000,,0.0,2.1484375,1.708984375,102391.78466796876,102407.62329101562,59.09363842010498,294.2003631591797,2.1484375,0.0,-4.669506072998047,-0.9355783462524414
20170101140000,,0.0,1.85546875,2.1484375,102351.28173828124,102373.35205078124,58.56425762176514,294.2002410888672,2.197265625,0.0,-4.662397384643555,-0.39776611328125
20170101150000,,0.29296875,3.515625,2.4169921875,102301.77612304688,102328.55834960938,59.356966972351074,294.1715850830078,3.515625,0.0,-4.436346054077148,0.02927875518798828
20170101160000,,0.146484375,5.859375,1.7822265625,102251.91040039062,102277.89306640624,59.74927520751953,294.1553955078125,5.859375,0.0,-4.243995666503906,0.4725055694580078
20170101170000,,0.0,5.859375,0.9765625,102216.82739257812,102232.4951171875,59.25814819335938,294.1637268066406,5.859375,0.0,-4.016569137573241,0.7176837921142578
20170101180000,,4.443359375,4.4921875,1.1962890625,102172.91870117188,102192.34619140624,59.164366722106934,294.18495178222656,4.541015625,,-3.47031307220459,0.6833677291870117
20170101190000,,5.6640625,4.4921875,3.61328125,102161.60278320312,102177.87475585938,58.828078269958496,294.3028106689453,5.6640625,0.0,-3.08174991607666,0.3435497283935547
20170101200000,,1.416015625,2.783203125,6.689453125,102155.42602539062,102174.98168945312,57.711867332458496,294.4469299316406,6.689453125,0.0,-2.797369956970215,0.3856563568115233
20170101210000,,1.611328125,1.85546875,7.421875,102169.94018554688,102194.677734375,57.26203536987305,294.6107940673828,7.421875,0.0,-3.0224504470825195,0.3952617645263672
20170101220000,,3.3203125,4.00390625,6.4453125,102221.42333984376,102245.73364257812,58.38310623168945,294.69358825683594,6.4453125,0.0,-3.1196994781494136,0.17545413970947266
20170101230000,,2.880859375,4.6875,6.591796875,102278.64990234376,102295.18432617188,58.483482360839844,294.80311584472656,6.591796875,0.0,-3.140379905700684,0.4940671920776367
20170102000000,,3.90625,3.173828125,7.3486328125,102320.8251953125,102345.15380859376,57.42652130126953,294.9418182373047,7.373046875,0.0,-2.8435993194580083,0.6096611022949219
20170102010000,,6.54296875,3.7109375,7.32421875,102346.74682617188,102372.98583984376,56.01751136779785,295.19273376464844,7.71484375,0.0,-2.570591926574707,0.3964719772338867
20170102020000,,2.490234375,10.83984375,6.73828125,102309.02709960938,102330.18798828124,55.69718551635742,295.49534606933594,11.083984375,0.0,-2.4125957489013667,0.5555953979492188
20170102030000,,4.150390625,0.0,0.0,102125.97045898438,102142.52319335938,55.01820182800293,296.03648376464844,4.150390625,0.0,-2.637557983398437,3.774659156799317
20170102040000,,1.2451171875,3.173828125,2.294921875,102047.05810546876,102062.38403320312,55.39133644104004,296.0332489013672,3.564453125,0.0,-1.2650365829467771,3.302544593811035
20170102050000,,0.048828125,9.66796875,7.421875,102050.10375976562,102066.56494140624,55.69217491149902,296.0404052734375,10.546875,0.0,-0.1861257553100586,3.0279693603515625
